Kode Kantor;Nama Kantor;Kota;Nama Kantor Wilayah
4102100000;KPP Pratama Banda Aceh;Kota Banda Aceh;Kanwil Aceh
4102110000;KPP Pratama Bireuen;Kabupaten Bireuen;Kanwil Aceh
4102120000;KPP Pratama Langsa;Kota Langsa;Kanwil Aceh
4102130000;KPP Pratama Lhokseumawe;Kota Lhokseumawe;Kanwil Aceh
4102140000;KPP Pratama Meulaboh;Kabupaten Aceh Barat;Kanwil Aceh
4102160000;KPP Pratama Subulussalam;Kota Subulussalam;Kanwil Aceh
4102170000;KPP Pratama Aceh Besar;Kota Banda Aceh;Kanwil Aceh
4103010000;KPP Madya Medan;Kota Medan;Kanwil Sumatera Utara I
4103130000;KPP Pratama Binjai;Kota Binjai;Kanwil Sumatera Utara I
4103140000;KPP Pratama Medan Barat;Kota Medan;Kanwil Sumatera Utara I
4103150000;KPP Pratama Medan Belawan;Kota Medan;Kanwil Sumatera Utara I
4103170000;KPP Pratama Medan Petisah;Kota Medan;Kanwil Sumatera Utara I
4103180000;KPP Pratama Medan Polonia;Kota Medan;Kanwil Sumatera Utara I
4103190000;KPP Pratama Medan Timur;Kota Medan;Kanwil Sumatera Utara I
4103200000;KPP Pratama Lubuk Pakam;Kota Medan;Kanwil Sumatera Utara I
4103210000;KPP Madya Dua Medan;Kota Medan;Kanwil Sumatera Utara I
4104160000;KPP Pratama Sibolga;Kota Sibolga;Kanwil Sumatera Utara II
4104170000;KPP Pratama Balige;Kabupaten Tapanuli Utara;Kanwil Sumatera Utara II
4104180000;KPP Pratama Tebing Tinggi;Kota Tebing Tinggi;Kanwil Sumatera Utara II
4104190000;KPP Pratama Kabanjahe;Kabupaten Karo;Kanwil Sumatera Utara II
4104200000;KPP Pratama Kisaran;Kabupaten Asahan;Kanwil Sumatera Utara II
4104210000;KPP Pratama Padang Sidempuan;Kota Padang Sidempuan;Kanwil Sumatera Utara II
4104220000;KPP Pratama Pematang Siantar;Kota Pematang Siantar;Kanwil Sumatera Utara II
4104230000;KPP Pratama Rantau Prapat;Kabupaten Labuhanbatu;Kanwil Sumatera Utara II
4110010000;KPP Madya Palembang;Kota Palembang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110150000;KPP Pratama Baturaja;Ogan Komering Ulu;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110160000;KPP Pratama Lahat;Kabupaten Lahat;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110170000;KPP Pratama Lubuk Linggau;Kota Lubuklinggau;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110180000;KPP Pratama Palembang Ilir Barat;Kota Palembang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110190000;KPP Pratama Palembang Ilir Timur;Kota Palembang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110200000;KPP Pratama Palembang Seberang Ulu;Kota Palembang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110210000;KPP Pratama Kayu Agung;Kabupaten Ogan Komering Ilir;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110220000;KPP Pratama Prabumulih;Kota Prabumulih;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110230000;KPP Pratama Sekayu;Kabupaten Musi Banyuasin;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110240000;KPP Pratama Tanjung Pandan;Kabupaten Belitung;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110250000;KPP Pratama Pangkal Pinang;Kota Pangkal Pinang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4110260000;KPP Pratama Bangka;Kota Pangkalpinang;Kanwil Sumatera Selatan dan Kepulauan Bangka Belitung
4111140000;KPP Pratama Natar;Kabupaten Lampung Selatan;Kanwil Bengkulu dan Lampung
4111150000;KPP Pratama Metro;Kota Metro;Kanwil Bengkulu dan Lampung
4111160000;KPP Pratama Kotabumi;Kabupaten Lampung Utara;Kanwil Bengkulu dan Lampung
4111180000;KPP Pratama Curup;Kabupaten Rejang Lebong;Kanwil Bengkulu dan Lampung
4111200000;KPP Madya Bandar Lampung;Kota Bandar Lampung;Kanwil Bengkulu dan Lampung
4111210000;KPP Pratama Bandar Lampung Satu;Kota Bandar Lampung;Kanwil Bengkulu dan Lampung
4111220000;KPP Pratama Bandar Lampung Dua;Kota Bandar Lampung;Kanwil Bengkulu dan Lampung
4111230000;KPP Pratama Bengkulu Satu;Kota Bengkulu;Kanwil Bengkulu dan Lampung
4111240000;KPP Pratama Bengkulu Dua;Kota Bengkulu;Kanwil Bengkulu dan Lampung
4113130000;KPP Pratama Bukittinggi;Kota Bukittinggi;Kanwil Sumatera Barat dan Jambi
4113140000;KPP Pratama Payakumbuh;Kota Payakumbuh;Kanwil Sumatera Barat dan Jambi
4113160000;KPP Pratama Solok;Kota Solok;Kanwil Sumatera Barat dan Jambi
4113170000;KPP Pratama Bangko;Kabupaten Merangin;Kanwil Sumatera Barat dan Jambi
4113190000;KPP Pratama Kuala Tungkal;Kabupaten Tanjung Jabung Barat;Kanwil Sumatera Barat dan Jambi
4113200000;KPP Pratama Muara Bungo;Kabupaten Bungo;Kanwil Sumatera Barat dan Jambi
4113210000;KPP Pratama Padang Satu;Kota Padang;Kanwil Sumatera Barat dan Jambi
4113220000;KPP Pratama Padang Dua;Kota Padang;Kanwil Sumatera Barat dan Jambi
