No,Nama,Jabatan Lama,Jabatan Baru
1,*****,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
2,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
3,*****,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
4,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
5,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
6,*****,Account Representative Kantor Pelayanan Pajak Madya Tangerang,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
7,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
8,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
9,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Surabaya,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
10,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
11,*****,Account Representative Kantor Pelayanan Pajak Madya Bogor,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
12,*****,Account Representative Kantor Pelayanan Pajak Madya Gresik,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
13,*****,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
14,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
15,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
16,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
17,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
18,*****,Account Representative Kantor Pelayanan Pajak Madya Bandar Lampung,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
19,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Satu
20,*****,Account Representative Kantor Pelayanan Pajak Madya Tangerang,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
21,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
22,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
23,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Bandung,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
24,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Tangerang,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
25,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
26,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
27,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
28,*****,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
29,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
30,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Dua
31,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
32,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
33,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
34,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
35,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Tangerang,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
36,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
37,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
38,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
39,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
40,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
41,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
42,*****,Account Representative Kantor Pelayanan Pajak Madya Malang,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Tiga
43,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
44,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
45,*****,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
46,*****,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
47,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
48,*****,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
49,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
50,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
51,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
52,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
53,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Wajib Pajak Besar Empat
54,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
55,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
56,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
57,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
58,*****,Account Representative Kantor Pelayanan Pajak Pratama Cikarang Selatan,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
59,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Satu
60,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Utara,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
61,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
62,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
63,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
64,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
65,*****,Account Representative Kantor Pelayanan Pajak Madya Bandung,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
